station,x_mm,z_mm,pair_yaw_deg,pair_separation_deg,bore_dia_mm
1,215.85,1680.77,0.0,60,3.2
2,235.16,1687.85,0.0,60,3.2
3,254.00,1694.18,0.0,60,3.2
4,271.93,1699.06,0.0,60,3.2
5,289.86,1703.94,0.0,60,3.2
6,307.82,1708.81,0.0,60,3.2
7,325.75,1708.92,0.0,60,3.2
8,343.69,1709.02,0.0,60,3.2
9,361.62,1709.12,0.0,60,3.2
10,379.55,1709.22,0.0,60,3.2
11,397.51,1704.55,0.0,60,3.2
12,415.44,1695.15,1.5,60,3.2
13,433.37,1704.77,0.0,60,3.2
14,451.31,1700.13,0.0,60,3.2
15,468.73,1656.51,13.0,60,3.2
16,486.16,1631.98,17.0,60,3.2
17,503.58,1597.89,23.0,60,3.2
18,521.00,1563.80,22.5,60,3.2
19,537.41,1532.87,18.5,60,3.2
20,553.82,1492.38,20.5,60,3.2
21,570.20,1461.42,17.5,60,3.2
22,585.60,1424.08,26.0,60,3.2
23,600.96,1405.79,20.5,60,3.2
24,616.33,1382.70,22.5,60,3.2
25,631.72,1364.41,22.5,60,3.2
26,647.09,1350.90,18.5,60,3.2
27,662.46,1342.14,10.0,60,3.2
28,677.82,1333.38,3.5,60,3.2
29,692.18,1327.74,0.0,60,3.2
30,706.53,1322.12,0.0,60,3.2
31,720.88,1321.26,0.0,60,3.2
32,735.23,1320.40,0.0,60,3.2
33,749.58,1319.51,0.0,60,3.2
34,763.93,1328.17,0.0,60,3.2
35,778.28,1327.31,0.0,60,3.2
36,791.62,1334.34,0.0,60,3.2
37,804.93,1341.35,0.0,60,3.2
38,818.26,1348.39,0.0,60,3.2
39,831.60,1355.40,-1.5,60,3.2
40,844.91,1362.43,-4.5,60,3.2
41,858.24,1369.44,-9.0,60,3.2
42,871.55,1376.48,-15.0,60,3.2
43,884.89,1388.27,-14.0,60,3.2
44,898.22,1400.08,-14.0,60,3.2
45,911.53,1411.86,-14.5,60,3.2
46,924.86,1423.67,-15.5,60,3.2
47,938.17,1435.46,-16.5,60,3.2
48,951.51,1447.24,-17.0,60,3.2
49,964.84,1459.03,-16.0,60,3.2
